t0,p0,t1,p1
15.55E-9,57.95E-6,12.09E-9,208.9E-6
15.55E-9,54.66E-6,12.12E-9,202.1E-6
15.55E-9,53.06E-6,12.16E-9,190.9E-6
15.56E-9,123.4E-9,12.22E-9,174.7E-6
15.56E-9,29.26E-9,12.28E-9,157.4E-6
15.56E-9,21.95E-9,12.33E-9,140.2E-6
15.56E-9,21.95E-9,12.38E-9,124.0E-6
15.56E-9,21.95E-9,12.42E-9,108.3E-6
15.56E-9,21.95E-9,12.46E-9,89.35E-6
15.56E-9,21.95E-9,12.51E-9,72.08E-6
15.56E-9,21.95E-9,12.56E-9,57.92E-6
15.57E-9,21.95E-9,12.59E-9,47.30E-6
15.58E-9,21.95E-9,12.63E-9,38.93E-6
15.60E-9,21.95E-9,12.66E-9,31.98E-6
15.64E-9,21.95E-9,12.70E-9,26.11E-6
15.72E-9,21.95E-9,12.73E-9,21.11E-6
15.88E-9,21.95E-9,12.77E-9,16.82E-6
16.00E-9,21.95E-9,12.81E-9,13.15E-6
 , ,12.86E-9,10.04E-6
 , ,12.90E-9,7.443E-6
 , ,12.96E-9,5.309E-6
 , ,13.02E-9,3.602E-6
 , ,13.08E-9,2.286E-6
 , ,13.17E-9,1.320E-6
 , ,13.26E-9,660.0E-9
 , ,13.39E-9,259.3E-9
 , ,13.55E-9,61.99E-9
 , ,13.71E-9,18.31E-9
 , ,13.87E-9,22.54E-9
 , ,14.03E-9,34.58E-9
 , ,14.19E-9,43.33E-9
 , ,14.35E-9,47.89E-9
 , ,14.51E-9,49.78E-9
 , ,14.67E-9,50.37E-9
 , ,14.83E-9,50.47E-9
 , ,14.99E-9,50.43E-9
 , ,15.15E-9,50.38E-9
 , ,15.31E-9,50.34E-9
 , ,15.43E-9,50.33E-9
 , ,15.55E-9,50.32E-9
 , ,15.55E-9,116.8E-6
 , ,15.55E-9,116.1E-6
 , ,15.55E-9,115.1E-6
 , ,15.55E-9,113.6E-6
 , ,15.55E-9,110.8E-6
 , ,15.55E-9,105.4E-6
 , ,15.55E-9,95.52E-6
 , ,15.55E-9,81.08E-6
 , ,15.55E-9,66.64E-6
 , ,15.55E-9,57.98E-6
 , ,15.55E-9,54.69E-6
 , ,15.55E-9,53.09E-6
 , ,15.56E-9,47.61E-9
 , ,15.56E-9,4.398E-9
 , ,15.56E-9,46.52E-9
 , ,15.56E-9,46.59E-9
 , ,15.56E-9,46.58E-9
 , ,15.56E-9,46.58E-9
 , ,15.56E-9,46.58E-9
 , ,15.56E-9,46.58E-9
 , ,15.57E-9,46.58E-9
 , ,15.58E-9,46.58E-9
 , ,15.60E-9,46.58E-9
 , ,15.64E-9,46.58E-9
 , ,15.72E-9,46.58E-9
 , ,15.88E-9,46.58E-9
 , ,16.00E-9,46.58E-9
