t,vwl,vblb,vbl
2.626E-9,0.000,913.2E-3,999.4E-3
2.627E-9,0.000,912.4E-3,999.4E-3
2.629E-9,0.000,911.8E-3,999.4E-3
2.630E-9,0.000,911.3E-3,999.4E-3
2.631E-9,0.000,910.7E-3,999.4E-3
2.632E-9,0.000,910.0E-3,999.4E-3
2.635E-9,0.000,908.7E-3,999.4E-3
2.636E-9,0.000,907.9E-3,999.4E-3
2.638E-9,0.000,907.1E-3,999.4E-3
2.639E-9,0.000,906.3E-3,999.4E-3
2.641E-9,0.000,905.5E-3,999.4E-3
2.643E-9,0.000,904.6E-3,999.4E-3
2.645E-9,0.000,903.5E-3,999.4E-3
2.647E-9,0.000,902.3E-3,999.4E-3
2.651E-9,0.000,900.7E-3,999.4E-3
2.655E-9,0.000,898.7E-3,999.4E-3
2.659E-9,0.000,896.5E-3,999.4E-3
2.664E-9,0.000,894.1E-3,999.4E-3
2.669E-9,0.000,891.7E-3,999.4E-3
2.673E-9,0.000,889.3E-3,999.4E-3
2.679E-9,0.000,886.4E-3,999.4E-3
2.685E-9,0.000,883.2E-3,999.3E-3
2.693E-9,0.000,879.6E-3,999.3E-3
2.701E-9,0.000,875.3E-3,999.3E-3
2.711E-9,0.000,870.3E-3,999.3E-3
2.721E-9,0.000,865.5E-3,999.3E-3
2.734E-9,0.000,858.9E-3,999.3E-3
2.747E-9,0.000,852.8E-3,999.3E-3
2.760E-9,0.000,846.2E-3,999.3E-3
2.780E-9,0.000,836.1E-3,999.3E-3
2.801E-9,0.000,826.0E-3,999.3E-3
2.819E-9,0.000,817.0E-3,999.3E-3
2.839E-9,0.000,807.4E-3,999.2E-3
2.859E-9,0.000,797.7E-3,999.2E-3
2.879E-9,0.000,787.9E-3,999.2E-3
2.899E-9,0.000,778.1E-3,999.2E-3
2.920E-9,0.000,768.2E-3,999.2E-3
2.940E-9,0.000,758.5E-3,999.2E-3
2.960E-9,0.000,748.9E-3,999.2E-3
2.979E-9,0.000,739.8E-3,999.2E-3
2.998E-9,0.000,730.7E-3,999.2E-3
3.016E-9,0.000,722.2E-3,999.2E-3
3.033E-9,0.000,713.9E-3,999.2E-3
3.050E-9,0.000,706.2E-3,999.1E-3
3.065E-9,0.000,698.8E-3,999.1E-3
3.080E-9,0.000,691.9E-3,999.1E-3
3.094E-9,0.000,685.3E-3,999.1E-3
3.108E-9,0.000,678.9E-3,999.1E-3
3.121E-9,0.000,672.8E-3,999.1E-3
3.133E-9,0.000,666.9E-3,999.1E-3
3.146E-9,0.000,661.2E-3,999.1E-3
3.158E-9,0.000,655.5E-3,999.1E-3
3.170E-9,0.000,650.0E-3,999.1E-3
3.182E-9,0.000,644.5E-3,999.1E-3
3.193E-9,0.000,639.1E-3,999.1E-3
3.205E-9,0.000,633.7E-3,999.1E-3
3.217E-9,0.000,628.2E-3,999.1E-3
3.229E-9,0.000,622.7E-3,999.1E-3
3.241E-9,0.000,617.2E-3,999.1E-3
3.253E-9,0.000,611.6E-3,999.1E-3
3.266E-9,0.000,605.9E-3,999.1E-3
3.279E-9,0.000,600.1E-3,999.1E-3
3.292E-9,0.000,594.2E-3,999.1E-3
3.306E-9,0.000,587.6E-3,999.1E-3
