t,vwl,vblb,vbl
10.40E-9,800.0E-3,833.3E-3,1.003
10.40E-9,800.0E-3,833.2E-3,1.003
10.40E-9,800.0E-3,833.1E-3,1.003
10.40E-9,800.0E-3,833.1E-3,1.003
10.41E-9,800.0E-3,833.0E-3,1.003
10.41E-9,800.0E-3,832.8E-3,1.003
10.41E-9,800.0E-3,832.5E-3,1.003
10.41E-9,800.0E-3,831.9E-3,1.003
10.42E-9,800.0E-3,830.9E-3,1.003
10.43E-9,800.0E-3,828.8E-3,1.003
10.45E-9,800.0E-3,824.6E-3,1.003
10.49E-9,800.0E-3,816.3E-3,1.003
10.56E-9,800.0E-3,800.7E-3,1.003
10.65E-9,800.0E-3,783.8E-3,1.003
10.77E-9,800.0E-3,760.5E-3,1.003
10.89E-9,800.0E-3,736.8E-3,1.003
11.01E-9,800.0E-3,713.4E-3,1.003
11.10E-9,800.0E-3,694.5E-3,1.003
11.20E-9,800.0E-3,675.9E-3,1.003
11.20E-9,800.0E-3,675.8E-3,1.003
11.20E-9,800.0E-3,675.7E-3,1.003
11.20E-9,800.0E-3,675.6E-3,1.003
11.20E-9,800.0E-3,675.5E-3,1.003
11.20E-9,800.0E-3,675.5E-3,1.003
11.20E-9,800.0E-3,675.4E-3,1.003
11.20E-9,800.0E-3,675.3E-3,1.003
11.20E-9,800.0E-3,675.2E-3,1.003
11.20E-9,800.0E-3,675.1E-3,1.003
11.20E-9,800.0E-3,675.1E-3,1.003
11.20E-9,800.0E-3,675.0E-3,1.003
11.21E-9,800.0E-3,674.9E-3,1.003
11.21E-9,800.0E-3,674.7E-3,1.003
11.21E-9,800.0E-3,674.4E-3,1.003
11.21E-9,800.0E-3,673.9E-3,1.003
11.22E-9,800.0E-3,672.9E-3,1.003
11.23E-9,800.0E-3,670.9E-3,1.003
11.24E-9,800.0E-3,668.6E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.3E-3,1.003
11.25E-9,800.0E-3,666.2E-3,1.003
11.25E-9,800.0E-3,666.2E-3,1.003
11.25E-9,800.0E-3,666.2E-3,1.003
11.25E-9,800.0E-3,666.1E-3,1.003
11.25E-9,800.0E-3,666.0E-3,1.003
11.25E-9,800.0E-3,666.0E-3,1.003
11.25E-9,800.0E-3,665.9E-3,1.003
11.25E-9,800.0E-3,665.8E-3,1.003
11.25E-9,800.0E-3,665.7E-3,1.003
11.25E-9,800.0E-3,665.7E-3,1.003
11.25E-9,800.0E-3,665.6E-3,1.003
11.25E-9,800.0E-3,665.5E-3,1.003
11.25E-9,800.0E-3,665.4E-3,1.003
11.26E-9,800.0E-3,665.3E-3,1.003
11.26E-9,800.0E-3,665.2E-3,1.003
11.26E-9,800.0E-3,664.9E-3,1.003
11.26E-9,800.0E-3,664.3E-3,1.003
11.27E-9,800.0E-3,663.1E-3,1.003
11.28E-9,800.0E-3,660.7E-3,1.003
11.30E-9,800.0E-3,655.9E-3,1.003
11.35E-9,800.0E-3,646.3E-3,1.003
11.41E-9,800.0E-3,635.8E-3,1.003
11.49E-9,800.0E-3,620.6E-3,1.003
11.61E-9,800.0E-3,598.2E-3,1.003
11.73E-9,800.0E-3,576.1E-3,1.003
11.85E-9,800.0E-3,554.2E-3,1.003
11.93E-9,800.0E-3,540.7E-3,1.003
12.00E-9,800.0E-3,527.4E-3,1.003
